iter	Passed	Remaining
0	212	212598
1	284	141857
2	359	119372
3	451	112348
4	541	107756
5	622	103159
6	694	98480
7	763	94706
8	825	90936
9	891	88226
10	955	85928
11	1022	84180
12	1083	82291
13	1143	80560
14	1192	78305
15	1266	77905
16	1351	78141
17	1426	77822
18	1500	77469
19	1565	76714
20	1623	75700
21	1683	74841
22	1738	73848
23	1853	75368
24	1965	76642
25	2051	76858
26	2135	76945
27	2207	76618
28	2282	76431
29	2367	76563
30	2442	76354
31	2510	75950
32	2582	75679
33	2655	75449
34	2724	75108
35	2785	74594
36	2847	74120
37	2906	73588
38	2965	73068
39	3025	72604
40	3085	72170
41	3145	71737
42	3204	71314
43	3261	70859
44	3321	70489
45	3383	70165
46	3446	69879
47	3589	71189
48	3698	71783
49	3792	72063
50	3878	72168
51	3951	72032
52	4016	71767
53	4069	71287
54	4127	70916
55	4194	70705
56	4265	70562
57	4340	70487
58	4416	70435
59	4492	70389
60	4566	70297
61	4641	70227
62	4726	70295
63	4807	70314
64	4896	70433
65	5020	71040
66	5123	71341
67	5221	71565
68	5326	71869
69	5430	72152
70	5548	72598
71	5687	73302
72	5820	73916
73	5919	74074
74	6012	74158
75	6101	74179
76	6200	74323
77	6276	74193
78	6353	74076
79	6422	73857
80	6494	73688
81	6576	73625
82	6732	74377
83	6837	74560
84	6923	74528
85	7006	74464
86	7084	74341
87	7177	74384
88	7257	74284
89	7332	74135
90	7404	73963
91	7479	73818
92	7564	73770
93	7642	73664
94	7689	73249
95	7773	73195
96	7855	73126
97	7934	73029
98	8009	72894
99	8082	72744
100	8167	72699
101	8231	72470
102	8313	72397
103	8388	72271
104	8476	72253
105	8563	72220
106	8642	72126
107	8716	71989
108	8789	71847
109	8871	71778
110	8959	71758
111	9045	71716
112	9132	71683
113	9222	71678
114	9294	71527
115	9355	71296
116	9416	71063
117	9477	70843
118	9550	70703
119	9619	70540
120	9674	70282
121	9734	70057
122	9793	69825
123	9854	69618
124	9917	69425
125	9988	69285
126	10058	69142
127	10134	69040
128	10199	68863
129	10257	68646
130	10328	68516
131	10387	68308
132	10446	68095
133	10504	67890
134	10579	67784
135	10649	67658
136	10719	67524
137	10820	67586
138	10903	67536
139	10982	67466
140	11048	67308
141	11107	67116
142	11176	66982
143	11236	66796
144	11297	66617
145	11371	66514
146	11435	66359
147	11499	66201
148	11570	66085
149	11637	65947
150	11710	65842
151	11781	65728
152	11852	65612
153	11919	65481
154	12002	65434
155	12102	65475
156	12183	65420
157	12269	65384
158	12342	65285
159	12399	65099
160	12469	64978
161	12533	64835
162	12611	64758
163	12681	64643
164	12733	64438
165	12799	64306
166	12865	64175
167	12931	64040
168	12979	63824
169	13053	63730
170	13143	63718
171	13224	63661
172	13300	63578
173	13385	63540
174	13456	63436
175	13520	63299
176	13607	63269
177	13668	63119
178	13724	62948
179	13784	62795
180	13843	62640
181	13896	62455
182	13952	62289
183	14026	62204
184	14101	62124
185	14155	61947
186	14227	61855
187	14311	61814
188	14403	61803
189	14488	61768
190	14585	61778
191	14664	61713
192	14731	61596
193	14801	61495
194	14874	61405
195	14945	61308
196	14994	61119
197	15046	60943
198	15107	60810
199	15163	60654
200	15220	60502
201	15275	60347
202	15336	60212
203	15404	60106
204	15450	59919
205	15498	59736
206	15566	59633
207	15620	59479
208	15675	59325
209	15731	59179
210	15790	59047
211	15849	58911
212	15904	58764
213	15962	58630
214	16019	58490
215	16074	58346
216	16131	58208
217	16184	58056
218	16243	57927
219	16298	57785
220	16357	57659
221	16413	57520
222	16468	57382
223	16529	57261
224	16586	57129
225	16643	57001
226	16701	56874
227	16750	56717
228	16806	56585
229	16869	56474
230	16926	56347
231	16991	56247
232	17048	56120
233	17093	55956
234	17145	55812
235	17203	55692
236	17267	55590
237	17323	55462
238	17378	55333
239	17435	55212
240	17489	55081
241	17527	54901
242	17592	54805
243	17654	54698
244	17708	54571
245	17768	54461
246	17827	54348
247	17889	54246
248	17945	54125
249	18005	54015
250	18051	53867
251	18104	53739
252	18159	53617
253	18218	53508
254	18278	53400
255	18339	53300
256	18393	53177
257	18449	53061
258	18515	52972
259	18570	52854
260	18624	52734
261	18680	52617
262	18736	52504
263	18783	52367
264	18844	52266
265	18913	52191
266	18978	52102
267	19046	52022
268	19102	51909
269	19151	51778
270	19201	51653
271	19255	51537
272	19319	51447
273	19378	51346
274	19442	51256
275	19503	51161
276	19570	51080
277	19638	51003
278	19709	50933
279	19777	50855
280	19844	50777
281	19916	50710
282	19983	50630
283	20053	50557
284	20123	50486
285	20189	50402
286	20253	50316
287	20314	50223
288	20379	50137
289	20446	50058
290	20549	50067
291	20674	50128
292	20803	50198
293	20888	50161
294	20961	50093
295	21026	50008
296	21083	49904
297	21145	49811
298	21189	49677
299	21253	49590
300	21321	49514
301	21387	49431
302	21451	49345
303	21524	49278
304	21587	49190
305	21649	49101
306	21718	49025
307	21794	48967
308	21865	48897
309	21916	48781
310	21975	48685
311	22035	48592
312	22102	48511
313	22169	48433
314	22224	48329
315	22278	48222
316	22341	48135
317	22399	48039
318	22454	47935
319	22503	47820
320	22561	47724
321	22618	47625
322	22678	47533
323	22732	47430
324	22791	47337
325	22851	47245
326	22907	47145
327	22965	47050
328	23025	46961
329	23081	46862
330	23142	46773
331	23203	46685
332	23275	46620
333	23338	46538
334	23405	46461
335	23476	46394
336	23550	46331
337	23621	46264
338	23687	46186
339	23753	46110
340	23807	46008
341	23870	45925
342	23937	45851
343	23997	45763
344	24054	45668
345	24120	45591
346	24199	45540
347	24263	45458
348	24335	45393
349	24387	45291
350	24462	45231
351	24520	45140
352	24582	45056
353	24652	44987
354	24724	44921
355	24795	44854
356	24870	44794
357	24935	44716
358	25010	44656
359	25076	44579
360	25140	44501
361	25207	44426
362	25269	44343
363	25341	44277
364	25411	44208
365	25485	44147
366	25549	44066
367	25607	43978
368	25663	43885
369	25713	43781
370	25778	43704
371	25849	43637
372	25920	43571
373	25997	43514
374	26068	43447
375	26146	43392
376	26218	43326
377	26286	43255
378	26350	43175
379	26409	43089
380	26469	43004
381	26524	42911
382	26587	42830
383	26650	42752
384	26709	42666
385	26778	42595
386	26833	42503
387	26895	42422
388	26960	42346
389	27033	42283
390	27098	42207
391	27156	42119
392	27212	42030
393	27261	41929
394	27327	41855
395	27383	41766
396	27436	41673
397	27503	41600
398	27577	41539
399	27649	41474
400	27721	41408
401	27806	41363
402	27869	41284
403	27927	41199
404	27984	41113
405	28042	41027
406	28106	40950
407	28161	40861
408	28220	40778
409	28276	40690
410	28341	40616
411	28414	40553
412	28480	40479
413	28544	40404
414	28606	40324
415	28670	40249
416	28728	40164
417	28791	40088
418	28849	40004
419	28897	39906
420	28964	39835
421	29028	39759
422	29072	39657
423	29128	39570
424	29189	39492
425	29246	39407
426	29315	39339
427	29374	39257
428	29437	39181
429	29496	39099
430	29556	39020
431	29608	38929
432	29669	38850
433	29724	38765
434	29787	38689
435	29844	38606
436	29898	38518
437	29964	38447
438	30025	38369
439	30085	38291
440	30147	38213
441	30206	38133
442	30265	38053
443	30321	37970
444	30381	37891
445	30444	37817
446	30513	37749
447	30580	37679
448	30624	37581
449	30689	37509
450	30741	37421
451	30806	37349
452	30860	37264
453	30917	37182
454	30961	37085
455	31006	36989
456	31063	36909
457	31129	36839
458	31195	36768
459	31251	36686
460	31314	36613
461	31362	36522
462	31419	36441
463	31472	36356
464	31530	36276
465	31597	36208
466	31649	36121
467	31698	36033
468	31758	35956
469	31814	35875
470	31864	35788
471	31911	35697
472	31972	35622
473	32029	35543
474	32097	35476
475	32160	35403
476	32228	35336
477	32304	35277
478	32375	35214
479	32434	35136
480	32494	35061
481	32600	35035
482	32668	34968
483	32727	34891
484	32787	34816
485	32846	34739
486	32907	34664
487	32965	34587
488	33030	34516
489	33087	34437
490	33146	34361
491	33214	34294
492	33278	34223
493	33333	34143
494	33406	34081
495	33467	34007
496	33530	33935
497	33582	33852
498	33639	33774
499	33707	33707
500	33759	33625
501	33822	33553
502	33875	33471
503	33942	33403
504	33997	33324
505	34056	33248
506	34116	33174
507	34164	33088
508	34218	33008
509	34286	32941
510	34354	32875
511	34420	32806
512	34485	32737
513	34583	32699
514	34674	32654
515	34739	32584
516	34799	32511
517	34856	32434
518	34920	32363
519	34978	32287
520	35027	32204
521	35087	32130
522	35143	32052
523	35207	31982
524	35273	31913
525	35329	31836
526	35382	31757
527	35452	31692
528	35504	31612
529	35572	31545
530	35635	31474
531	35693	31399
532	35758	31331
533	35824	31262
534	35868	31175
535	35920	31095
536	35969	31012
537	36020	30932
538	36083	30861
539	36138	30784
540	36203	30715
541	36267	30646
542	36316	30564
543	36383	30497
544	36432	30416
545	36487	30339
546	36536	30258
547	36582	30173
548	36650	30108
549	36721	30045
550	36791	29980
551	36847	29905
552	36903	29829
553	36965	29759
554	37023	29685
555	37085	29614
556	37140	29539
557	37197	29464
558	37254	29390
559	37312	29317
560	37371	29244
561	37430	29171
562	37488	29098
563	37549	29027
564	37613	28959
565	37663	28879
566	37724	28809
567	37789	28741
568	37853	28672
569	37899	28590
570	37944	28508
571	38007	28439
572	38057	28360
573	38122	28292
574	38178	28218
575	38235	28145
576	38289	28070
577	38348	27998
578	38412	27930
579	38466	27855
580	38529	27786
581	38591	27717
582	38654	27648
583	38715	27577
584	38762	27498
585	38826	27430
586	38889	27362
587	38940	27285
588	39004	27217
589	39063	27145
590	39135	27083
591	39186	27006
592	39246	26936
593	39310	26868
594	39374	26801
595	39435	26731
596	39495	26661
597	39543	26582
598	39587	26501
599	39652	26434
600	39697	26354
601	39747	26278
602	39798	26202
603	39847	26125
604	39905	26054
605	39959	25980
606	40022	25912
607	40096	25851
