iter	Passed	Remaining
0	208	208353
1	277	138689
2	356	118342
3	507	126279
4	610	121507
5	723	119931
6	836	118598
7	946	117350
8	1035	114010
9	1122	111166
10	1201	108064
11	1292	106440
12	1384	105121
13	1470	103577
14	1545	101461
15	1651	101584
16	1754	101473
17	1841	100442
18	1922	99248
19	2007	98348
20	2131	99382
21	2246	99883
22	2339	99368
23	2434	98995
24	2522	98360
25	2610	97801
26	2680	96604
27	2762	95886
28	2855	95596
29	2952	95462
30	3055	95519
31	3161	95645
32	3248	95177
33	3334	94749
34	3422	94366
35	3512	94051
36	3590	93454
37	3666	92823
38	3739	92137
39	3817	91624
40	3894	91086
41	3980	90802
42	4108	91442
43	4200	91260
44	4302	91309
45	4399	91234
46	4487	90988
47	4588	91013
48	4713	91488
49	4822	91626
50	4898	91158
51	4980	90791
52	5068	90566
53	5138	90024
54	5230	89871
55	5324	89754
56	5413	89554
57	5506	89430
58	5593	89206
59	5686	89095
60	5768	88793
61	5844	88418
62	5925	88135
63	6012	87927
64	6093	87646
65	6185	87540
66	6296	87679
67	6409	87847
68	6501	87719
69	6576	87376
70	6661	87168
71	6755	87077
72	6839	86853
73	6929	86712
74	7013	86504
75	7107	86412
76	7195	86251
77	7278	86035
78	7366	85881
79	7450	85675
80	7537	85523
81	7642	85562
82	7735	85463
83	7835	85442
84	7934	85410
85	8026	85310
86	8108	85091
87	8186	84844
88	8259	84544
89	8333	84258
90	8419	84097
91	8495	83844
92	8566	83544
93	8637	83254
94	8686	82750
95	8776	82646
96	8856	82448
97	8937	82264
98	9014	82044
99	9088	81796
100	9161	81545
101	9248	81424
102	9336	81311
103	9409	81068
104	9493	80923
105	9577	80772
106	9654	80572
107	9728	80350
108	9811	80199
109	9890	80019
110	9969	79846
111	10046	79655
112	10116	79412
113	10194	79229
114	10268	79025
115	10355	78917
116	10449	78860
117	10540	78787
118	10646	78818
119	10740	78762
120	10834	78709
121	10906	78493
122	10977	78268
123	11043	78019
124	11121	77850
125	11209	77754
126	11289	77605
127	11363	77410
128	11443	77264
129	11522	77114
130	11601	76961
131	11671	76749
132	11743	76553
133	11816	76363
134	11892	76200
135	11969	76042
136	12042	75861
137	12118	75694
138	12188	75499
139	12254	75277
140	12323	75075
141	12390	74869
142	12449	74610
143	12522	74442
144	12602	74312
145	12682	74181
146	12753	74003
147	12824	73828
148	12895	73654
149	12969	73494
150	13055	73402
151	13133	73270
152	13207	73118
153	13275	72930
154	13342	72738
155	13418	72597
156	13489	72430
157	13575	72343
158	13650	72201
159	13710	71980
160	13780	71811
161	13846	71624
162	13915	71457
163	14003	71385
164	14066	71183
165	14146	71072
166	14230	70980
167	14309	70867
168	14374	70682
169	14470	70649
170	14561	70591
171	14643	70491
172	14729	70413
173	14819	70348
174	14943	70447
175	15044	70434
176	15141	70404
177	15232	70345
178	15311	70229
179	15404	70177
180	15497	70125
181	15578	70015
182	15670	69961
183	15767	69927
184	15858	69861
185	15930	69718
186	16027	69680
187	16107	69572
188	16192	69480
189	16281	69408
190	16380	69380
191	16481	69359
